Borough,Ncode,Neighborhood,Latitude,Longitude,population density,population total,male,female,Median income,Median age
Brooklyn,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,40.62384524,-73.91607484,497498.701,48351,23370,24981,1520979,36.8
Brooklyn,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,40.5779135,-73.94353723,589296.926,61584,28670,32914,1054259,40.3
Brooklyn,BK61,Crown Heights North,40.67082918,-73.94329119,1506628.84,100130,44442,55688,980637,34.6
Brooklyn,BK90,East Williamsburg,40.70849241,-73.93885815,468975.876,33155,15587,17568,519058,34.1
Queens,QN23,College Point,40.78490275,-73.84304529,125384.135,24199,12281,11918,354073,38.7
Staten Island,SI11,Charleston-Richmond Valley-Tottenville,40.53053148,-74.23215776,23106.907,24083,12491,11592,342708,39.5
Queens,QN45,Douglas Manor-Douglaston-Little Neck,40.7668461,-73.74249821,62122.542,25619,12681,12938,554014,45.4
Staten Island,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,40.53811417,-74.17854866,53723.419,28727,14589,14138,521048,43.1
Staten Island,SI54,Great Kills,40.54948023,-74.14932381,115318.53,43427,21259,22168,718593,43.2
Bronx,BX09,Soundview-Castle Hill-Clason Point-Harding Park,40.81901438,-73.8480273,455122.73,53800,23977,29823,490852,34.6
Queens,QN05,Rosedale,40.65981643,-73.73526079,92751.145,28201,12209,15992,506307,40.7
Bronx,BX10,Pelham Bay-Country Club-City Island,40.85064141,-73.83207378,169827.815,26139,12231,13908,340905,42.6
Bronx,BX27,Hunts Point,40.80972988,-73.88331506,394247.975,27562,13202,14360,149520,30.5
Brooklyn,BK21,Seagate-Coney Island,40.57637538,-74.00787311,264094.095,30018,13849,16169,236991,38.9
Queens,QN15,Far Rockaway-Bayswater,40.60313443,-73.75497968,214853.77,50294,23253,27041,354594,35.7
Bronx,BX52,Schuylerville-Throgs Neck-Edgewater Park,40.81510926,-73.81635002,297663.8433,46104,22319,23785,958549,42.6
Queens,QN49,Whitestone,40.78129077,-73.81420217,109972.478,32331,15482,16849,632863,43.7
Queens,QN02,Springfield Gardens North,40.66623049,-73.76042093,83415.27,26959,11295,15664,169006,39.8
Brooklyn,BK23,West Brighton,40.63187893,-74.10718178,248939.42,15472,6552,8920,158958,57.6
Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,40.65842002,-73.95489867,1205452.098,69397,31645,37752,726125,34.6
Manhattan,MN25,Battery Park City-Lower Manhattan,40.71193198,-74.01686931,367771.299,37506,18720,18786,904097,35.8
Brooklyn,BK93,Starrett City,40.64758905,-73.8793697,62938.59,12822,4442,8380,49725,34.1
Queens,QN12,Hammels-Arverne-Edgemere,40.58733774,-73.80553003,134121.34,35500,16469,19031,338136,34.9
Brooklyn,BK82,East New York,40.6699257,-73.88069864,1069761.964,91956,40807,51149,936755,33.6
Staten Island,SI22,West New Brighton-New Brighton-St. George,40.64061456,-74.08701651,223375.034,31214,15078,16136,520272,36.8
Queens,QN57,Lindenwood-Howard Beach,40.66391842,-73.84963782,72866.735,28769,13020,15749,274894,45
Staten Island,SI07,Westerleigh,40.62109047,-74.13304144,83557.033,24202,11971,12231,592003,40.9
Queens,QN38,Pomonok-Flushing Heights-Hillcrest,40.73493618,-73.8048612,166958.99,33532,15867,17665,436329,38.3
Manhattan,MN01,Marble Hill-Inwood,40.87655078,-73.91065966,737692.57,50358,24812,25546,301285,35.8
Staten Island,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,40.63254639,-74.15008537,118699.2067,30473,14153,16320,417929,32.9
Brooklyn,BK25,Homecrest,40.5985251,-73.95918459,617485.82,41899,20742,21157,726502,40.3
Brooklyn,BK68,Fort Greene,40.68852726,-73.97290574,502640.51,26982,11367,15615,593123,34.6
Staten Island,SI08,Grymes Hill-Clifton-Fox Hills,40.62418479,-74.0872482,63920.02,23858,10469,13389,232524,35.2
Manhattan,MN11,Central Harlem South,40.81597607,-73.94321113,935588.42,46694,21442,25252,461086,35
Brooklyn,BK63,Crown Heights South,40.67082918,-73.94329119,654216.19,41243,19627,21616,358170,34.4
Bronx,BX07,Bronxdale,40.85272298,-73.86172578,523326.72,33728,16080,17648,282549,35.8
